Java,CPP,DBMS,DWM,CBNST,OS
82%,78%,76%,76%,75%,78%
71%,80%,65%,65%,63%,65%
2%,28%,3%,4%,8%,3%
44%,61%,38%,51%,38%,33%
64%,61%,68%,59%,73%,63%
71%,76%,62%,67%,58%,45%
33%,52%,38%,37%,23%,28%
62%,70%,62%,71%,53%,50%
78%,76%,65%,63%,73%,68%
47%,61%,50%,47%,40%,40%
56%,67%,50%,61%,50%,55%
29%,48%,32%,27%,28%,25%
69%,80%,65%,69%,75%,75%
67%,78%,59%,69%,73%,53%
87%,85%,85%,86%,88%,78%
82%,83%,82%,78%,78%,78%
82%,78%,71%,73%,63%,73%
20%,43%,35%,18%,30%,23%
27%,46%,35%,27%,15%,28%
82%,83%,76%,82%,75%,75%
91%,85%,94%,90%,88%,85%
87%,85%,76%,82%,75%,68%
87%,85%,76%,78%,65%,65%
71%,72%,71%,69%,68%,65%
29%,52%,32%,31%,25%,23%
58%,72%,74%,61%,55%,50%
53%,54%,74%,45%,48%,48%
78%,78%,68%,67%,63%,70%
91%,89%,91%,88%,93%,88%
80%,83%,76%,82%,75%,75%
87%,87%,82%,76%,88%,80%
76%,74%,74%,73%,60%,63%
18%,37%,24%,16%,15%,20%
91%,91%,91%,92%,93%,90%
73%,74%,71%,69%,63%,65%
58%,70%,53%,51%,70%,65%
20%,37%,21%,16%,18%,35%
18%,43%,18%,22%,23%,20%
67%,63%,68%,63%,63%,60%
29%,41%,26%,37%,28%,30%
84%,80%,85%,86%,88%,80%
67%,59%,47%,53%,38%,35%
2%,28%,6%,2%,3%,10%
4%,30%,9%,4%,8%,8%
84%,80%,88%,80%,75%,78%
89%,89%,94%,84%,80%,85%
2%,24%,0%,2%,3%,0%
0%,24%,0%,0%,3%,0%
96%,89%,91%,90%,95%,88%
11%,37%,12%,8%,23%,13%
