"SalmonOrigin" "Freshwater" "Marine"
"1" "Alaska" "108" "368"
"2" "Alaska" "131" "355"
"3" "Alaska" "105" "469"
"4" "Alaska" "86" "506"
"5" "Alaska" "99" "402"
"6" "Alaska" "87" "423"
"7" "Alaska" "94" "440"
"8" "Alaska" "117" "489"
"9" "Alaska" "79" "432"
"10" "Alaska" "99" "403"
"11" "Alaska" "114" "428"
"12" "Alaska" "123" "372"
"13" "Alaska" "123" "372"
"14" "Alaska" "109" "420"
"15" "Alaska" "112" "394"
"16" "Alaska" "104" "407"
"17" "Alaska" "111" "422"
"18" "Alaska" "126" "423"
"19" "Alaska" "105" "434"
"20" "Alaska" "119" "474"
"21" "Alaska" "114" "396"
"22" "Alaska" "100" "470"
"23" "Alaska" "84" "399"
"24" "Alaska" "102" "429"
"25" "Alaska" "101" "469"
"26" "Alaska" "85" "444"
"27" "Alaska" "109" "397"
"28" "Alaska" "106" "442"
"29" "Alaska" "82" "431"
"30" "Alaska" "118" "381"
"31" "Alaska" "105" "388"
"32" "Alaska" "121" "403"
"33" "Alaska" "85" "451"
"34" "Alaska" "83" "453"
"35" "Alaska" "53" "427"
"36" "Alaska" "95" "411"
"37" "Alaska" "76" "442"
"38" "Alaska" "95" "426"
"39" "Alaska" "87" "402"
"40" "Alaska" "70" "397"
"41" "Alaska" "84" "511"
"42" "Alaska" "91" "469"
"43" "Alaska" "74" "451"
"44" "Alaska" "101" "474"
"45" "Alaska" "80" "398"
"46" "Alaska" "95" "433"
"47" "Alaska" "92" "404"
"48" "Alaska" "99" "481"
"49" "Alaska" "94" "491"
"50" "Alaska" "87" "480"
"51" "Canada" "129" "420"
"52" "Canada" "148" "371"
"53" "Canada" "179" "407"
"54" "Canada" "152" "381"
"55" "Canada" "166" "377"
"56" "Canada" "124" "389"
"57" "Canada" "156" "419"
"58" "Canada" "131" "345"
"59" "Canada" "140" "362"
"60" "Canada" "144" "345"
"61" "Canada" "149" "393"
"62" "Canada" "108" "330"
"63" "Canada" "135" "355"
"64" "Canada" "170" "386"
"65" "Canada" "152" "301"
"66" "Canada" "153" "397"
"67" "Canada" "152" "301"
"68" "Canada" "136" "438"
"69" "Canada" "122" "306"
"70" "Canada" "148" "383"
"71" "Canada" "90" "385"
"72" "Canada" "145" "337"
"73" "Canada" "123" "364"
"74" "Canada" "145" "376"
"75" "Canada" "115" "354"
"76" "Canada" "134" "383"
"77" "Canada" "117" "355"
"78" "Canada" "126" "345"
"79" "Canada" "118" "379"
"80" "Canada" "120" "369"
"81" "Canada" "153" "403"
"82" "Canada" "150" "354"
"83" "Canada" "154" "390"
"84" "Canada" "155" "349"
"85" "Canada" "109" "325"
"86" "Canada" "117" "344"
"87" "Canada" "128" "400"
"88" "Canada" "144" "403"
"89" "Canada" "163" "370"
"90" "Canada" "145" "355"
"91" "Canada" "133" "375"
"92" "Canada" "128" "383"
"93" "Canada" "123" "349"
"94" "Canada" "144" "373"
"95" "Canada" "140" "388"
"96" "Canada" "150" "339"
"97" "Canada" "124" "341"
"98" "Canada" "125" "346"
"99" "Canada" "153" "352"
"100" "Canada" "108" "339"
